ResponseId,A.S. President,A.S. President,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - CCS,Collegiate Senator - Engineering,Collegiate Senator - Engineering,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. Transfer Senator,A.S. Transfer Senator
R_00000000001253,2,1,,,2,1,2,1,1,2,1,,4,2,1,3,,,,,,,,,12,8,11,5,6,,,1,3,4,7,2,9,,10,,,,,,,,,,,,
R_00000000001254,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001255,,1,,,,1,,1,,1,1,,4,3,1,2,,,,,,,,,,11,7,10,5,,,1,4,8,3,6,2,,9,,,,,,,,,,,,
R_00000000001256,2,1,,,1,2,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,3,4,1,,,,
R_00000000001257,2,1,3,Madison Hechlar,2,1,2,1,2,1,1,,4,3,1,2,,,,,,,12,11,,10,,9,1,,,7,3,8,5,4,2,,6,,,,,,,,,,,,
R_00000000001258,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001259,2,1,,,2,1,2,1,2,1,1,,3,4,1,2,,,,,,,,,2,1,11,12,10,,,5,8,9,3,6,7,,4,,,,,,,,,,,,
R_00000000001260,2,1,,,1,2,2,1,1,2,1,,4,3,2,,1,,,,1,,,3,,,7,,8,,5,2,6,,,4,,,,,,,,,,,,,,,
R_00000000001261,2,1,,,2,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001262,2,1,,,2,1,2,1,2,1,1,,4,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,3,,,2,,,,,
R_00000000001263,,1,,Hieu le,,1,,1,,1,1,,,,,,,,,,,,,,,,,,1,,,,2,,,,3,,,,,,,,,,,,,,1
R_00000000001264,2,1,,,2,1,2,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001265,1,2,,,2,1,2,1,2,1,1,,3,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,3,,,,4,,,,
R_00000000001266,3,2,1,Jackson Weber,1,2,1,2,1,2,1,3,1,4,,2,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,
R_00000000001267,3,1,2,Sterling Henken,2,1,2,1,2,1,1,,1,3,4,2,,,,,,,12,,,8,10,5,7,,,4,1,2,11,6,9,,3,,,,,,,,,,,,
R_00000000001268,2,1,,,1,2,1,2,1,2,,3,,1,2,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001269,1,,,,1,,1,,1,,1,1,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
R_00000000001270,3,1,2,Derek Yang,2,1,2,1,2,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,2,4,,,3,5,,,,
R_00000000001271,2,1,,,,1,1,,,1,1,,,2,3,1,,,,,,,,,,,,2,4,,,,,,3,5,1,,,,,,,,,,,,,,
R_00000000001272,3,1,2,Robbie Davison,2,1,2,1,2,1,1,,1,,3,2,4,,,,,10,,,,5,2,9,6,,,3,1,8,4,,,,7,,,,,,,,,,,,
R_00000000001273,2,1,,,2,1,2,1,2,1,1,,3,1,4,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001274,2,1,,,2,1,2,1,2,1,1,,,,,,,,,1,,,,,,5,10,9,2,,,11,1,4,3,8,7,,6,,,,,,,,,,,,
R_00000000001275,2,1,,,1,2,1,2,1,2,1,,,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
R_00000000001276,1,2,,,1,2,1,2,1,2,1,,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,5,1,3,2,,4,,,,,
R_00000000001277,1,3,2,Shidasp Parvaz,1,2,1,2,1,2,1,2,3,,,4,1,,,,6,2,7,8,1,,,,,4,5,,,,,,,3,,,,,,,,,,,,,
R_00000000001278,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000001279,,1,,,,1,,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,
R_00000000001280,1,2,,,2,1,2,1,2,1,1,,3,1,2,,4,,,,,,,,,,,,,,,,,,,,,,,4,5,,2,,1,3,,,,,
R_00000000001281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001282,2,1,,,2,1,2,1,2,1,1,,,1,3,2,4,,,,,,,,,2,,,,,,,,,1,,,,3,,,,,,,,,,,,
R_00000000001283,2,1,,,2,1,1,2,1,2,1,2,,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,5,2,3,,,,,
R_00000000001284,1,2,,,2,1,1,2,1,2,1,,,,1,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,
R_00000000001285,2,1,,,2,1,2,1,2,1,1,,3,1,2,4,,,,,,,,,12,1,,2,3,,10,9,4,6,8,7,5,11,,,,,,,,,,,,2,1
R_00000000001286,,1,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,
R_00000000001287,2,1,3,,2,1,2,1,2,1,1,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
R_00000000001288,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001289,1,2,,,2,1,2,1,2,1,1,1,3,4,,2,,,,,,,,,,,,,1,,,,,3,4,,2,,5,,,,,,,,,,,,
R_00000000001290,2,1,,,2,1,2,1,2,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
R_00000000001291,2,1,,,1,2,1,2,,,1,,4,1,3,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001292,1,2,,,1,2,,,2,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
R_00000000001293,2,1,,,2,1,2,1,2,1,1,,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000001294,2,1,,,2,1,2,1,1,2,1,,,3,1,2,4,,,,,3,11,2,,12,,4,5,10,,7,6,9,8,1,,,,,,,,,,,,,,2,1
R_00000000001295,2,1,,,2,1,2,1,2,1,1,,3,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,5,2,4,1,,,3,,,,,
R_00000000001296,2,1,3,Hie Le,2,1,2,1,1,,,2,3,1,4,,,,,,,,2,,,,1,,,,,,,,,,3,,4,,,,,,,,,,,2,1
R_00000000001297,1,,,,1,,1,,1,2,,1,,2,3,,4,,,,7,1,6,4,3,,,11,,12,9,10,,5,,,8,2,,,,,,,,,,,,,
R_00000000001298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001299,1,2,,,1,2,1,2,1,2,1,2,,3,4,,1,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,4,5,3,,,,
R_00000000001300,2,1,,,2,1,2,1,2,1,1,,4,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,,5,2,,,,,
R_00000000001301,2,1,3,Daddy,2,1,1,2,2,1,1,,3,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1
R_00000000001302,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,
R_00000000001303,,1,,,,1,,1,,1,1,,1,2,4,3,,,,,,,,,,6,7,4,2,,,1,10,3,11,9,8,,5,,,,,,,,,,,,
R_00000000001304,2,1,,,2,1,2,1,2,1,1,,3,2,1,4,,,,,,,,,,,,4,2,,,,1,3,,,,,,,,,,,,,,,,,
R_00000000001305,,1,,,,1,,1,,1,,,1,3,2,4,,,,,,,,,,9,5,3,1,,,7,2,10,6,11,4,,8,,,,,,,,,,,,
R_00000000001306,,,1,Nawar Nemeh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001307,1,3,2,n/a,1,2,1,2,1,2,1,1,,4,3,,2,,,,3,8,6,1,4,,,,,7,2,,,,,,,5,,,,,,,,,,,,,
R_00000000001308,3,1,2,Elliot Landon,2,1,2,1,2,1,1,,3,2,1,4,,,,,10,,,12,,2,,4,5,11,,7,3,6,,8,9,,1,,,,,,,,,,,,
R_00000000001309,2,1,,,2,1,2,1,1,2,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
R_00000000001310,1,2,,,1,2,1,2,1,2,1,2,4,3,,,1,,,,,,,,,,,,,,,,,,,,,,,2,5,,,3,4,,1,,,,
R_00000000001311,,1,,,,1,,1,1,,1,,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,5,1,3,4,,,2,,,,,
R_00000000001312,1,2,,,1,2,2,1,1,2,1,,2,3,,4,1,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,3,2,,,,,
R_00000000001313,1,,,,1,,1,,1,,1,1,,,,,2,,,,5,3,6,4,8,,,,,7,1,,,,,,,2,,,,,,,,,,,,1,
R_00000000001314,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,
R_00000000001315,1,2,,,1,2,1,2,2,1,1,1,,,3,4,2,,,,,6,4,5,,9,8,2,,11,7,1,,,10,,3,12,,,,,,,,,,,,,
R_00000000001316,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001317,1,2,,,1,2,1,2,1,2,1,1,,,2,3,4,,,,,,,,,,,,,,,,,,,,,,,4,2,,,5,3,1,,,,,
R_00000000001318,2,1,,,2,1,2,1,2,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
R_00000000001319,,1,2,,,1,,1,,1,1,,2,3,1,4,,,,,,,,8,,4,7,12,6,,,11,1,3,10,5,9,,2,,,,,,,,,,,,
R_00000000001320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001321,2,1,,,2,1,2,1,2,1,1,,2,4,3,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
R_00000000001322,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001323,1,2,,,1,2,1,2,1,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2
R_00000000001324,1,2,,,1,2,1,2,1,2,1,2,,,,,1,,,,,,2,,,,,,,4,1,,,,3,,,,,,,,,,,,,,,,
R_00000000001325,1,2,3,,1,2,1,2,1,2,1,2,,4,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001326,1,2,,,2,1,1,2,2,1,1,,,1,3,4,2,,,,1,,7,,2,3,,4,,,,,,,6,,,,5,,,,,,,,,,,,
R_00000000001327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001328,2,1,,,2,1,2,1,1,2,1,4,,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,4,3,2,5,,,1,,,,,
R_00000000001329,2,1,,,,1,,1,,1,1,,2,1,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,
R_00000000001330,2,3,1,Blake Taylor,2,1,1,2,1,2,1,,,,,,,,1,,,1,,4,,,,5,,,,2,3,,,,,,6,,,,,,,,,,,,
R_00000000001331,1,3,2,Navpreet Khabra,1,2,1,2,1,2,1,2,,4,3,,1,,,,9,,1,4,10,12,,6,,2,8,3,7,,,,,11,5,,,,,,,,,,,,
R_00000000001332,2,1,,,1,2,2,1,1,2,1,3,2,4,,,1,,,,,,,,,,,,,,,,,,,,,,,4,5,3,,2,,1,,,,,
R_00000000001333,1,,,,1,,1,,1,,1,2,3,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
R_00000000001334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
R_00000000001335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
R_00000000001336,2,1,,,2,1,2,1,2,1,1,,3,1,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001337,2,1,,,,1,1,,,1,1,,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001338,1,2,,,1,2,1,2,2,1,1,,,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
R_00000000001339,2,1,,,2,1,2,1,2,1,1,,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,,5,2,,,,,
R_00000000001340,2,1,,,,1,2,1,2,1,1,,1,4,3,2,,,,,,,,,,,,,1,,,,,,,,2,,3,,,,,,,,,,,,
R_00000000001341,,1,,,,1,,1,,1,1,,4,1,3,2,,,,,,,,,,10,9,3,11,,,8,7,1,6,2,5,,4,,,,,,,,,,,,
R_00000000001342,1,2,,Nawar Nemeh,1,2,1,2,1,2,1,,3,,1,2,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000001343,1,2,3,,1,2,2,1,1,2,1,,1,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,3,4,,5,,,,
R_00000000001344,,1,,,,1,,1,,1,1,,3,4,1,2,,,,,,,,,,2,7,3,1,,,,6,9,8,4,5,,10,,,,,,,,,,,,
R_00000000001345,1,2,,,2,1,1,2,2,1,1,,,1,3,4,2,,,,,,,,,,,,,,,,,,,,,,,4,,5,,3,,2,1,,,,
R_00000000001346,2,1,,,1,2,1,2,1,2,1,2,,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,5,,4,,3,,,,
R_00000000001347,1,3,2,Navpreet Khabra,1,,1,,1,,1,1,,3,4,,2,,,,1,8,7,6,4,,,,,5,2,,,,,,,3,,,,,,,,,,,,,
R_00000000001348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,
R_00000000001349,1,,,,1,,1,,1,,,2,,,,,1,,,,5,7,6,8,3,,,,,2,4,,,,,,,1,,,,,,,,,,,,,
R_00000000001350,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
R_00000000001351,,1,2,,,1,,1,,1,1,,2,3,1,4,,,,,,,,,,4,10,7,8,,,6,9,3,1,2,5,,11,,,,,,,,,,,,
R_00000000001352,1,2,,,1,2,1,2,1,2,1,2,,4,3,,1,,,,,4,3,5,6,10,,12,8,2,1,,,9,7,,,11,,,,,,,,,,,,,
R_00000000001353,2,1,,,2,1,2,1,2,1,1,,3,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1
R_00000000001354,,1,,,1,,,1,1,,1,1,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
R_00000000001355,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
R_00000000001356,,,,,,1,,,1,2,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001359,1,,,,1,,,1,1,,1,,4,3,1,,2,,,,,1,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,
R_00000000001360,1,,,,1,,1,,1,,1,2,,,,,1,,,,3,2,4,1,7,,,,,5,6,,,,,,,8,,,,,,,,,,,,,
R_00000000001361,2,1,,,2,1,2,1,2,1,,,1,2,3,4,,,,,,,,,,5,10,7,1,,,2,8,9,6,11,4,,3,,,,,,,,,,,,
R_00000000001362,2,1,,,,,2,1,2,1,1,,2,3,1,4,,,,,,,,,,5,7,6,3,,12,8,9,2,11,10,1,,4,,,,,,,,,,,,
R_00000000001363,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001364,2,1,,,1,2,2,1,1,2,1,4,,2,3,,1,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,2,,1,,,,,
R_00000000001365,2,1,,,1,2,1,2,2,1,1,,1,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,1
R_00000000001366,1,2,,,1,2,1,2,1,2,1,2,4,,3,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,,3,2,5,1,,,,
R_00000000001367,1,2,,,1,2,1,2,1,2,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,5,4,2,,3,,,,
R_00000000001368,1,3,2,Alina Tarrin,1,2,2,1,1,2,1,3,2,1,,4,,,,,,9,,5,8,1,,2,,,4,6,,3,,,,,7,,,,,,,,,,,,
R_00000000001369,1,2,,,1,2,1,2,1,2,1,2,,4,3,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
R_00000000001370,1,2,,,1,2,1,2,1,2,1,2,4,,3,,1,,,,,,,,,,,,,,,,,,,,,,,3,,4,,,2,5,1,,,,
R_00000000001371,,,,Melissa Serrano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001372,1,2,,,2,1,2,1,1,2,1,3,,,4,2,1,,,,,,,,,,,,,,,,,,,,,,,1,2,4,,3,5,,,,,,
R_00000000001373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001374,,1,,,,1,,1,,1,,,1,,,,,,,,,,,,,9,7,,4,,,,3,2,8,5,1,,6,,,,,,,,,,,,
R_00000000001375,1,,,,1,,1,,1,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
R_00000000001376,1,2,,,1,2,1,2,1,2,1,,,,,,1,,,,,,,4,,,,,,1,2,,,,,,,3,,,,,,,,,,,,,
R_00000000001377,1,2,3,,1,2,1,2,1,2,1,2,,3,4,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,2,5,3,,,,
R_00000000001378,1,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001379,1,2,,,1,2,2,1,1,2,1,1,,,3,4,2,,,,3,1,12,,,,10,11,,,6,2,,9,7,5,4,8,,,,,,,,,,,,,
R_00000000001380,,1,,,,,,,,,,4,2,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001381,1,2,,,2,1,2,1,1,2,1,2,,3,4,,1,,,,9,8,,,12,,,,6,1,7,,11,5,2,4,,10,3,,,,,,,,,,,,
R_00000000001382,2,1,,,1,2,1,2,1,2,1,4,,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,5,,2,,4,3,,1,,,,
R_00000000001383,2,1,3,,2,1,2,1,2,1,1,,3,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,,5,3,,,,,
R_00000000001384,2,1,,,2,1,1,2,1,2,1,,2,,3,4,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,4,2,5,1,,,,
R_00000000001385,2,1,,,2,1,2,1,2,1,1,,3,1,4,2,,,,,,,,,12,10,6,3,2,,,5,11,7,9,4,8,,1,,,,,,,,,,,2,1
R_00000000001386,1,2,3,,2,1,1,2,1,2,1,2,,3,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2
R_00000000001387,1,2,,,1,2,1,2,1,2,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,4,2,,1,,,,
R_00000000001388,1,3,2,Navpreet Khabra,2,1,2,1,2,1,1,,4,3,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001389,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001390,1,2,3,,1,2,1,2,1,2,1,2,,,4,3,1,,,,,,,,,,,,,,,,,,,,,,,3,5,,,2,4,,1,,,,
R_00000000001391,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
R_00000000001392,1,2,,,1,2,1,2,1,2,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001393,2,1,,,2,1,2,1,2,1,1,,2,1,3,4,,,,,,,,,,,,,,,,,,1,,3,2,,,,,,,,,,,,,,
R_00000000001394,2,1,,,,1,,1,,1,1,,2,3,4,1,,,,,,,,12,,5,11,9,3,,,8,1,6,10,2,4,,7,,,,,,,,,,,,
R_00000000001395,,1,,Hieu Le,1,,1,,,1,1,,3,4,2,,1,,,,,3,7,,,6,,8,1,,,5,4,,,,2,,,,,,,,,,,,,,
R_00000000001396,,1,,,,1,,1,,1,,,2,4,1,3,,,,,,,,,,,,,,,,,3,2,,,1,,,,,,,,,,,,,,
R_00000000001397,,,,,1,2,1,2,1,2,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,3,,4,,,,
R_00000000001398,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001399,,1,,,,1,,1,,1,1,,2,4,3,1,,,,,,,,,,1,,,4,,,3,,,,,,2,,,,,,,,,,,,,
R_00000000001400,1,,,,1,,1,,1,,,2,,,,,1,,,,6,2,8,3,4,,,,,7,5,,,,,,,1,,,,,,,,,,,,1,
R_00000000001401,3,1,2,Vien Nguyen,2,1,1,2,1,2,1,1,3,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,4,1,2,,,,
R_00000000001402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001403,,1,,,,1,,1,,1,1,,1,,2,3,,,,,,,,,,,,,,,,,3,2,,,1,,,,,,,,,,,,,,
R_00000000001404,1,2,3,Navpreet Khabra,2,1,1,2,1,2,1,2,4,,3,,1,,,,,,,,,,,,,,,,,,,,,,,5,4,,,3,2,,1,,,,
R_00000000001405,,1,,,,1,,1,,1,,,3,1,2,4,,,,,,,,,,1,5,8,9,,,11,6,3,4,2,10,,7,,,,,,,,,,,,1
R_00000000001406,2,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001407,,1,,,,1,,1,,1,1,,1,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,,,2,,,,,
R_00000000001408,2,1,,,1,2,2,1,1,2,1,3,4,,2,,1,,,,2,,11,9,10,6,,5,,4,7,8,1,,12,,3,,,,,,,,,,,,,,
R_00000000001409,2,1,,,2,1,2,1,2,1,1,,1,4,2,3,,,,,,9,,12,,3,,8,10,,,6,,1,5,2,4,11,7,,,,,,,,,,,,
R_00000000001410,1,2,,,1,2,1,2,1,2,1,3,,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,2,3,,,4,5,,1,,,,
R_00000000001411,2,1,,,2,1,2,1,2,1,1,,4,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2
R_00000000001412,,1,,,,1,,1,,1,1,,1,2,3,4,,,,,,,,,,,2,,,,,,1,,,3,,,,,,,,,,,,,,,
R_00000000001413,1,2,,,2,1,2,1,1,2,1,,1,,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,1,3,5,,,,
R_00000000001414,1,2,3,,1,2,1,2,1,2,1,2,,,3,4,1,,,,6,2,3,7,8,,,,,1,4,,,,,,,5,,,,,,,,,,,,,
R_00000000001415,2,1,,,2,1,,,2,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001416,1,2,,,1,2,2,1,2,1,1,,4,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,,4,1,3,,,,
R_00000000001417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001418,2,1,,,2,1,1,2,2,1,1,4,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,5,4,3,,2,,,,
R_00000000001419,2,1,,,2,1,1,2,2,1,1,,2,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,,,4,5,,,,
R_00000000001420,,1,,,,1,,1,,1,1,,3,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,5,2,4,3,,,1,,,,,
R_00000000001421,1,,,,1,,1,,1,,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,,3,2,,1,,,,
R_00000000001422,1,2,,,2,1,2,1,2,1,1,,4,1,2,3,,,,,,,,,,6,5,3,8,,,9,7,10,2,4,11,,1,,,,,,,,,,,,
R_00000000001423,1,2,,,1,2,1,2,1,2,1,1,,3,4,,2,,,,5,4,7,8,3,,,12,,2,6,10,,9,11,,,1,,,,,,,,,,,,,
R_00000000001424,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
R_00000000001425,,1,,,,1,,1,,1,1,,3,2,1,4,,,,,,,,,,10,,5,6,,,4,7,9,8,2,1,,3,,,,,,,,,,,,
R_00000000001426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001427,1,2,,,1,2,2,1,1,2,1,1,,2,4,,3,,,,,,,,,,,,,,,,,,,,,,,,2,3,,4,,1,,,,,
R_00000000001428,2,3,1,Navpreet Khabra,1,,1,,1,,,2,,,,,1,,,,4,6,7,8,1,,,,,5,3,,,,,,,2,,,,,,,,,,,,,
R_00000000001429,1,,,,1,,1,,1,,,2,,3,4,,1,,,,3,2,6,7,8,10,,9,,1,5,12,,,,,,4,11,,,,,,,,,,,,
R_00000000001430,1,2,,,1,2,1,2,1,2,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001431,2,1,,,1,2,1,2,2,1,1,,1,4,3,,2,,,,,,,,,,,,,,,,,,,,,,,,5,,4,,1,2,3,,,,
R_00000000001432,2,1,,,1,2,2,1,2,1,1,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
