ResponseId,A.S. President,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,A.S. Student Advocate General,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - CCS,Collegiate Senator - CCS,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. Transfer Senator,A.S. Transfer Senator
R_00000000000988,3,1,2,1,2,2,1,1,2,1,2,,,,,,3,,2,,,4,1,,,3,5,,,,2,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
R_00000000000989,2,3,1,1,2,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000990,2,1,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
R_00000000000991,3,2,1,2,1,2,1,2,1,1,2,,,,,4,2,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,2,,4,,3,,,,
R_00000000000992,2,1,3,2,1,1,2,2,1,2,1,,,,,,,,,,1,,,,,,,,,,5,9,,1,,,,10,,2,8,4,11,,3,6,7,,,,,,,,,,,,,
R_00000000000993,3,1,2,2,1,2,1,2,1,1,2,,,,,4,1,3,,,2,,,,,,,,,,9,11,,7,12,,,1,,8,6,3,4,,2,10,5,,,,,,,,,,,,,
R_00000000000994,3,1,2,2,1,1,2,2,1,2,1,,,,,2,,1,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,3,,4,,,5,,,,
R_00000000000995,,,1,1,,,1,1,,1,,,,,,,2,,3,,,4,1,,,10,2,11,6,5,,,9,,8,7,1,,4,,,,,3,,,,,,,,,,,,,,,,
R_00000000000996,2,,1,1,,,1,1,,1,2,,,,,,3,,4,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
R_00000000000997,3,1,2,2,1,1,2,2,1,1,2,,,,,4,,1,,2,,3,,,,,,,12,,8,4,,1,,,,2,,7,5,10,6,,3,11,9,,,,,,,,,,,,,
R_00000000000998,2,3,1,1,2,2,1,1,2,1,2,,,,,,2,,1,,3,,,,,,7,8,4,5,,,9,,,2,3,10,6,,,,,1,12,11,,,,,,,,,,,,,,
R_00000000000999,,1,,,1,1,,,1,1,,,,,,1,,2,,4,3,,,,,,,,,,8,6,,5,,,,4,,7,10,3,11,,9,2,1,,,,,,,,,,,,,
R_00000000001000,2,1,3,2,1,1,2,2,1,2,1,,,,,3,2,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2
R_00000000001001,,,1,1,,,1,1,,1,,,,,,,2,,3,,,1,4,,,3,8,4,5,11,,,2,,7,9,6,,10,,,12,,1,,,,,,,,,,,,,,,,
R_00000000001002,2,1,3,2,1,2,1,1,2,2,1,,,,,4,,3,,,1,,2,,,2,,,,6,,3,,,,,4,,,,,,,5,1,,,,,,,,,,,,,,,
R_00000000001003,3,1,2,1,2,2,1,1,2,1,2,,,,,4,1,,2,,,,3,,,4,1,,5,6,,,8,,3,10,9,,2,12,,,,7,11,,,,,,,,,,,,,,,
R_00000000001004,3,1,2,2,1,1,2,2,1,2,1,,,,,1,,2,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,3,,5,,,2,,,,
R_00000000001005,2,3,1,1,2,2,1,1,2,1,2,,,,,,3,,1,,,4,2,,,1,10,7,4,8,,,6,,9,,3,,5,,,,,2,,,,,,,,,,,,,,,,
R_00000000001006,,,,,,,,,,1,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
R_00000000001007,3,1,2,,1,1,2,2,1,,,,,,,4,,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001008,,,1,1,,,1,1,,1,,,,,,,3,,1,,,4,2,,,8,11,10,4,9,,,3,,6,1,2,,7,,,,,5,,,,,,,,,,,,,,,,
R_00000000001009,3,1,2,2,1,1,2,2,1,2,1,,,,,2,,1,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,5,,1,,,2,,,,
R_00000000001010,,,1,1,,,1,1,,1,,,,,,,3,,1,,,4,2,,,2,11,5,7,9,,,6,,10,4,3,,8,,,,,1,,,,,,,,,,,,,,,,
R_00000000001011,,,,2,1,1,2,2,1,2,1,,,,,1,3,2,,,,,4,,,,,,,,,,,,,,,,,,,2,,,1,,3,,,,,,,,,,,,,
R_00000000001012,3,1,2,2,1,1,2,2,1,2,1,,,,,3,,2,,1,4,,,,,,,,,,5,1,,10,12,,,2,,9,4,3,7,,11,6,8,,,,,,,,,,,,,
R_00000000001013,3,1,2,2,1,1,2,2,1,1,2,,,,,3,,4,,2,1,,,,,,,,,,1,,,,,,,,,2,,5,3,,,4,,,,,,,,,,,,,,
R_00000000001014,2,1,3,2,1,2,1,2,1,2,1,,,,,4,,3,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,3,,,,,1,,,,
R_00000000001015,3,1,2,1,2,2,1,2,1,2,1,,,,,2,3,,,4,1,,,,,11,,9,12,,2,8,,4,,,,6,,7,,3,5,,1,,10,,,,,,,,,,,,,
R_00000000001016,3,1,2,2,1,1,2,2,1,2,1,1,4,2,3,,,,,,,,,,,,,,,,3,4,,,,,,1,,6,2,7,8,,,9,5,,,,,,,,,,,,,
R_00000000001017,,1,,,1,1,,,1,,1,,,,,4,,2,,3,1,,,,,,,,,,5,10,,6,,,,11,,7,8,3,4,,9,1,2,,,,,,,,,,,,,
R_00000000001018,,,1,1,,,1,1,,1,,,,,,,4,,1,,,2,3,,,8,1,4,9,3,,,2,,6,7,11,,10,,,12,,5,,,,,,,,,,,,,,,,
R_00000000001019,,,1,1,,,1,1,,1,,,,,,,3,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
R_00000000001020,,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
R_00000000001022,2,1,3,2,1,2,1,2,1,1,2,,,,,1,4,3,,,2,,,,,,,,,,11,10,,4,,,,5,,7,9,1,8,,2,3,6,,,,,,,,,,,,,
R_00000000001023,3,1,2,2,1,1,2,2,1,,,,,,,1,,2,,3,4,,,,,3,,,,,,,,2,,,,,,,,4,1,,,,,,,,,,,,,,,,,
R_00000000001024,,1,,,1,1,,,1,,1,,,,,,,2,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001025,3,1,2,2,1,2,1,2,1,2,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,
R_00000000001026,2,1,3,2,1,1,2,2,1,2,1,,,,,3,,2,,1,4,,,,,,,,,,7,8,,6,,,,1,12,2,11,10,3,,5,4,9,,,,,,,,,,,,,
R_00000000001027,2,1,3,2,1,1,2,2,1,2,1,1,4,2,3,,,,,,,,,,,,,,,,2,7,,5,12,,,1,,3,11,4,9,,8,6,10,,,,,,,,,,,,,
R_00000000001028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
R_00000000001029,2,1,3,2,1,1,2,2,1,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,1,
R_00000000001030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,4,,1,,,2,,,,
R_00000000001031,3,1,2,2,1,1,2,2,1,2,1,,,,,3,,1,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,5,,3,,2,1,,,,
R_00000000001032,3,1,2,2,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,1
R_00000000001033,,1,,,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000001034,3,1,2,2,1,1,2,1,2,1,2,,,,,2,1,4,,,3,,,,,5,,,,,,2,,1,6,,3,,,,,,,,4,,,,,,,,,,,,,,,
R_00000000001035,1,3,2,2,1,2,1,,,,,,,,,2,,1,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,2,,,,,,,,,
R_00000000001036,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
R_00000000001038,2,3,1,1,2,2,1,1,2,1,,,,,,,4,,2,,,1,3,,,3,6,9,2,4,,,8,,1,10,7,,5,,,,,11,,,,,,,,,,,,,,,,
R_00000000001039,,1,,2,1,1,2,2,1,,,,,,,2,,3,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,3,,,2,,4,,,,
R_00000000001040,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001041,,1,,,1,1,,,1,,1,,,,,3,,1,,2,4,,,,,,,,,,9,5,,6,,,,1,,4,11,10,7,,2,8,3,,,,,,,,,,,,,
R_00000000001042,2,1,3,2,1,1,2,2,1,1,2,,,,,1,,4,,3,2,,,,,,,,,,4,,,3,,,,,,,,,,,1,,2,,,,,,,,,,,,,
R_00000000001043,3,1,2,2,1,2,1,1,2,1,2,,,,,,2,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
R_00000000001044,3,2,1,1,2,2,1,1,2,2,1,,,,,,4,,1,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
R_00000000001045,3,1,2,2,1,1,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001046,3,1,2,2,1,1,2,2,1,2,1,,,,,3,,2,,4,1,,,,,,,,,,4,3,,12,,9,,10,,7,5,6,8,,1,11,2,,,,,,,,,,,,,
R_00000000001047,3,1,2,2,1,1,2,1,2,1,2,,,,,4,,3,,1,2,,,,,4,6,8,5,9,,12,7,,2,3,10,,11,,,,,1,,,,,,,,,,,,,,,,
R_00000000001048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
R_00000000001049,3,1,2,2,1,1,2,1,2,1,2,,,,,2,,,4,1,,,3,,,5,8,3,,9,,12,6,,2,,7,,10,,,,,1,,11,4,,,,,,,,,,,,,
R_00000000001050,3,2,1,2,1,,,,,,,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001051,3,2,1,2,1,2,1,2,1,1,2,,,,,1,3,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,3,1,4,2,,,,,
R_00000000001052,3,2,1,1,2,2,1,1,2,1,2,,,,,,3,,1,,,4,2,,,8,9,6,1,11,,,4,,7,5,3,,10,,,,,2,,,12,,,,,,,,,,,,,
R_00000000001053,3,1,2,2,1,1,2,2,1,1,2,,,,,1,,4,,3,2,,,,,,12,,,,6,9,,11,,,,4,,8,5,10,1,,7,3,2,,,,,,,,,,,,,
R_00000000001054,3,1,2,1,2,1,2,1,2,1,2,,,,,,1,,3,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001055,2,3,1,1,,,1,1,,1,,,,,,,3,,1,,,2,4,,,,,5,4,,,,,,6,3,2,,,,,,,1,,,,,,,,,,,,,,,,
R_00000000001056,3,1,2,1,2,2,1,2,1,2,1,,,,,,4,,3,,,2,1,,,,9,,,7,2,,12,11,1,,6,4,,,5,8,,3,,,10,,,,,,,,,,,,,
R_00000000001057,2,3,1,1,,,1,1,,1,,,,,,,3,,1,,,,2,,,,,,,,,,4,,,1,3,,,,,,,2,,,,,,,,,,,,,,,,
R_00000000001058,,1,,,1,1,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000001059,,1,2,,1,,1,1,,,,,,,,,4,3,,1,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001060,2,1,3,1,2,2,1,1,2,1,2,,,,,,2,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2
R_00000000001061,3,2,1,,,2,1,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001062,2,3,1,1,2,2,1,1,2,,,,,,,,3,,4,,,1,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001063,2,3,1,1,2,2,1,1,2,2,1,,,,,,1,,3,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,3,4,5,,,,
R_00000000001064,,,,,,,,2,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001065,3,2,1,1,2,2,1,1,2,1,2,,,,,,3,,2,,,4,1,,,9,4,11,5,8,,,6,,10,2,3,,7,,,,,1,,,,,,,,,,,,,,,,
R_00000000001066,1,3,2,1,2,1,,1,2,1,2,,,,,,3,,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,4,2,5,,,,
R_00000000001067,1,2,3,2,1,1,2,2,1,2,1,,,,,2,,3,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,2,,5,,,3,,,,
R_00000000001068,2,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,
R_00000000001069,,,1,1,,,1,1,,,,,,,,,3,4,2,,,1,,,,9,11,4,10,6,,,3,,1,7,5,,2,,,,,8,,,,,,,,,,,,,,,,
R_00000000001070,,1,,,1,1,,,1,,,,,,,4,,2,,3,1,,,,,,,,,,7,3,,8,,,,1,,5,10,4,11,,2,6,9,,,,,,,,,,,,,
R_00000000001071,,,,,,,,,,,,,,,,4,,1,,2,3,,,,,,,,,,4,6,,10,,,,7,,5,2,3,1,,,9,8,,,,,,,,,,,,,
R_00000000001072,2,1,,,1,1,,,1,,1,,,,,4,,2,,3,1,,,,,,,,,,11,3,,8,,,,2,12,9,5,4,6,,1,7,10,,,,,,,,,,,,,
R_00000000001073,1,2,3,2,1,2,1,1,2,,1,,,,,1,,3,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,4,,5,,,2,,,,
R_00000000001074,3,1,2,2,1,2,1,2,1,1,2,,,,,1,3,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
R_00000000001075,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001076,1,2,3,2,1,1,2,1,2,2,1,,,,,,,,4,2,1,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
R_00000000001077,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
R_00000000001078,2,3,1,1,2,2,1,1,2,1,2,,,,,,2,4,3,,,,1,,,3,7,11,6,2,,,10,,1,4,9,,8,,,,,5,,,,,,,,,,,,,,,,
R_00000000001079,1,2,3,1,2,2,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
R_00000000001081,2,1,3,2,1,1,2,2,1,1,2,,,,,4,,2,,1,3,,,,,,12,,,,11,6,,5,,,,3,,2,8,9,1,,4,7,10,,,,,,,,,,,,,
R_00000000001082,3,1,2,2,1,2,1,2,1,1,2,,,,,1,3,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,5,3,,4,,,,
R_00000000001083,2,1,3,1,2,2,1,1,2,1,2,,,,,3,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,3,,,1,4,,,,,
R_00000000001084,,,,,,1,2,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
R_00000000001085,2,3,1,1,2,2,1,1,2,1,2,4,1,2,3,,,,,,,,,,,5,2,,1,,,,3,,4,7,6,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
R_00000000001087,3,2,1,2,1,1,2,2,1,2,1,,,,,1,,3,,2,4,,,,,,,,,,10,,,11,4,2,3,,,5,8,7,9,,6,12,1,,,,,,,,,,,,,
R_00000000001088,3,2,1,1,2,2,1,,,,,,,,,,,,,2,,1,,,,10,9,3,2,7,,,11,,1,8,5,,4,,,,,6,,,,,,,,,,,,,,,,
R_00000000001089,,,1,1,,,1,1,,1,,,,,,1,2,,,,,4,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
R_00000000001090,2,1,3,2,1,2,1,1,2,1,2,,,,,2,,3,,1,4,,,,,,,,,,9,1,,8,12,,,4,,3,10,11,6,,2,7,5,,,,,,,,,,,,,
R_00000000001091,2,1,3,2,1,1,2,2,1,2,1,1,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
R_00000000001092,2,1,3,,1,1,,,1,,,,,,,2,,1,,4,3,,,,,,,,,,4,,,2,,,,1,,,,3,,,,,,,,,,,,,,,,,,
R_00000000001093,2,3,1,1,2,2,1,1,2,1,2,,,,,,2,,3,,,4,1,,,1,4,,5,8,,,3,,10,6,2,,9,,,,,7,,,,,,,,,,,,,,,,
R_00000000001094,2,3,1,1,2,2,1,1,2,2,1,,,,,,3,,4,,,1,2,,,5,4,7,8,11,,,10,,1,2,9,,3,,,,,6,,,,,,,,,,,,,,,,
R_00000000001095,2,1,3,2,1,1,2,2,1,2,1,3,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,
R_00000000001096,,,1,1,,,1,1,,1,,,,,,,1,,2,,,4,3,,,9,4,10,6,11,,,3,,7,5,1,,8,,,,,2,,,,,,,,,,,,,,,,
R_00000000001097,2,3,1,1,2,2,1,1,2,1,2,,,,,4,2,,,,1,,3,,,4,,6,,,,9,5,10,8,,,12,,,2,,,7,1,11,3,,,,,,,,,,,,,
R_00000000001098,3,2,1,2,1,2,1,1,2,1,2,,,,,3,1,2,,,,,4,,,8,3,,,9,7,,6,,,,11,,4,10,12,2,5,,,,1,,,,,,,,,,,,,1
R_00000000001099,,,1,1,,,1,1,,1,,,,,,,4,,1,,,3,2,,,6,4,7,5,,,,9,,10,1,2,,8,,,,,3,,,,,,,,,,,,,,,,
R_00000000001100,3,1,2,2,1,2,1,1,2,2,1,,,,,4,,2,,1,3,,,,,,7,11,,,4,,6,,1,8,10,5,3,9,,2,,,,,12,,,,,,,,,,,,,
R_00000000001101,2,1,3,2,1,1,2,2,1,2,1,,,,,4,,2,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,4,,2,,,1,,,,
R_00000000001102,1,3,2,2,1,1,2,1,2,2,1,,,,,4,,,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,,1,4,,,,,,
R_00000000001103,2,1,3,1,2,2,1,2,1,1,2,,,,,,,,2,4,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,,,2,,5,,,,
R_00000000001104,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001105,3,1,2,1,2,2,1,1,2,1,2,,,,,2,,,3,,,4,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001106,3,1,2,2,1,1,2,2,1,2,1,,,,,4,,1,,3,2,,,,,,,,,,6,2,,10,,,,1,12,7,11,5,3,,8,4,9,,,,,,,,,,,,,
R_00000000001107,3,2,1,1,2,2,1,1,2,1,2,,,,,,3,,4,,,1,2,,,8,3,11,7,5,,12,6,,10,4,2,,9,,,,,1,,,,,,,,,,,,,,,,
R_00000000001108,2,1,,,1,1,,,1,1,2,,,,,4,,3,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,5,,1,,,4,,,,
R_00000000001109,3,1,2,1,2,2,1,2,1,1,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
R_00000000001110,3,1,2,1,2,2,1,1,2,1,2,,,,,1,4,,,,,3,2,,,8,10,7,5,2,,,9,,11,6,12,,4,,,1,,3,,,,,,,,,,,,,,,,
R_00000000001111,,1,,,1,1,,,1,2,1,,,,,3,,4,,2,1,,,,,,,,,,11,9,,7,,,,3,,6,10,4,5,,1,2,8,,,,,,,,,,,,,
R_00000000001112,3,1,2,2,1,1,2,2,1,2,1,,,,,2,,3,,4,1,,,,,,,,12,,10,7,,3,,,,6,,11,8,2,9,,5,4,1,,,,,,,,,,,,,
R_00000000001113,3,1,2,2,1,2,1,2,1,2,1,,,,,4,2,1,,,3,,,,,7,,,,,4,1,11,6,2,8,,5,,,12,9,,10,,,3,,,,,,,,,,,,,
R_00000000001114,3,2,1,1,2,2,1,1,2,1,2,,,,,,2,,3,,,4,1,,,7,2,6,3,11,,,1,12,4,5,10,,9,,,,,8,,,,,,,,,,,,,,,,
R_00000000001115,2,1,3,2,1,1,2,2,1,2,1,,,,,2,,3,,4,1,,,,,,,,,,5,10,,6,,,,9,,7,1,8,4,,3,2,11,,,,,,,,,,,,,
R_00000000001116,3,1,2,2,1,1,2,2,1,2,1,,,,,4,,3,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,1,,4,,,5,,,,
R_00000000001117,2,1,3,2,1,1,2,2,1,1,2,,,,,3,,2,,1,4,,,,,,,,,,4,1,,3,12,,,7,,2,5,11,9,,10,6,8,,,,,,,,,,,,,
R_00000000001118,3,1,2,2,1,1,2,2,1,2,1,,,,,1,,2,,3,4,,,,,,,,,,9,5,,10,,12,,1,,7,11,2,3,,4,6,8,,,,,,,,,,,,1,2
R_00000000001119,3,2,1,1,2,2,1,1,2,1,2,,,,,,4,,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,1,3,5,,,,
R_00000000001120,2,3,1,1,2,2,1,1,2,1,2,,,,,,1,,2,,,3,4,,,8,5,2,3,4,,,6,,10,11,9,,1,,,,,7,,,,,,,,,,,,,,,,
R_00000000001121,2,1,3,,1,1,2,2,1,2,1,,,,,1,,2,,3,4,,,,,,,,,,7,2,,3,,,,9,,6,11,4,5,,10,8,1,,,,,,,,,,,,,
R_00000000001122,3,2,1,1,2,2,1,1,2,1,2,,,,,,3,,1,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1
R_00000000001123,3,2,1,1,2,2,1,1,2,1,2,2,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,
R_00000000001124,1,3,2,2,1,2,1,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,
R_00000000001125,2,1,3,2,1,1,2,1,2,2,1,,,,,1,,2,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1
R_00000000001126,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001127,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000001128,3,1,2,2,1,2,1,2,1,1,2,,,,,,,4,1,3,,2,,,,11,,,12,,,4,,1,10,,,7,,8,,5,2,3,9,6,,,,,,,,,,,,,,
R_00000000001129,2,1,3,1,2,2,1,1,2,,,,,,,,4,,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001130,3,2,1,1,2,2,1,1,2,1,2,,,,,,1,,2,,,3,4,,,2,,5,4,,,,1,,6,7,8,,,,,,,3,,,,,,,,,,,,,,,,
R_00000000001131,3,1,2,2,1,1,2,2,1,1,2,,,,,2,,3,,1,4,,,,,,,,,,10,1,,7,9,,,4,,6,12,8,3,,5,11,2,,,,,,,,,,,,,
R_00000000001132,1,3,2,1,2,2,1,1,2,2,1,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
R_00000000001133,3,1,2,2,1,2,1,2,1,1,2,,,,,1,,,,,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,1,,,,2,,,,
R_00000000001134,2,3,1,1,2,2,1,2,1,1,2,,,,,,2,,,,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
R_00000000001135,3,1,2,2,1,1,2,1,2,1,2,,,,,,3,4,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1
R_00000000001136,2,3,1,1,,,1,1,,1,2,,,,,,4,,1,,,3,2,,,6,9,1,10,8,12,,2,,7,3,4,,11,,,,,5,,,,,,,,,,,,,,,,
R_00000000001137,,1,,,1,1,,,1,1,,,,,,2,,3,,1,4,,,,,,,,,,10,8,,5,,,,3,,,9,2,1,,6,7,4,,,,,,,,,,,,,
R_00000000001138,2,3,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001139,3,1,2,1,2,1,2,1,2,2,1,,,,,,,,,,1,,,,,,,3,,,,,4,6,,,5,,,,2,,,,1,7,,,,,,,,,,,,,,
R_00000000001140,3,1,2,2,1,1,2,2,1,2,1,,,,,1,,2,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,3,,,,,4,,,,
R_00000000001141,2,1,3,2,1,1,2,2,1,2,1,,,,,1,,4,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
